image_name,cluster_id,AccoID,AccoDocNo,AccoDate,timestamp,AccoAmount,Quantity,Discount,UnitPrice,StockCateDesc,StockName,StockDesciption,predicted_gender,confidence,predicted_age,age_confidence
cluster_079_AccoID_1168840_20251105_103444.png,79,1168840,224577/59,2025-11-05 10:35:00,2025-11-05 10:34:44,-97.0,1.0,0.0,24.0,Beverages Tea,TEA,rooibos,Female,0.964,41–55,0.406
cluster_079_AccoID_1168840_20251105_103444.png,79,1168840,224577/59,2025-11-05 10:35:00,2025-11-05 10:34:44,-97.0,1.0,0.0,73.0,Toasted sandwiches,TOASTED SANDWICH,mince and cheese,Female,0.964,41–55,0.406
cluster_080_AccoID_1169182_20251105_120551.png,80,1169182,224632/117,2025-11-05 12:06:00,2025-11-05 12:05:51,-0.01,1.0,0.0,0.01,Specials,SPECIAL,cappuccino regular,Male,0.975,31–40,0.312
cluster_081_AccoID_1168847_20251105_103436.png,81,1168847,224578/60,2025-11-05 10:36:00,2025-11-05 10:34:36,-88.0,1.0,0.0,59.0,Cakes Scones Muffins,SCONE,cheese jam and cream,Female,0.973,41–55,0.527
cluster_081_AccoID_1168847_20251105_103436.png,81,1168847,224578/60,2025-11-05 10:36:00,2025-11-05 10:34:36,-88.0,1.0,0.0,29.0,Beverages Coffee,COFFEE,cappuccino,Female,0.973,41–55,0.527
cluster_083_AccoID_1169267_20251105_123148.png,83,1169267,224646/130,2025-11-05 12:32:00,2025-11-05 12:31:48,-71.2,1.0,0.2000000029802322,89.0,Salads,SALAD,chicken mayo,Female,0.67,11–20,0.69
cluster_084_AccoID_1168602_20251105_091844.png,84,1168602,224540/25,2025-11-05 09:19:00,2025-11-05 09:18:44,-127.0,1.0,0.0,12.0,Extra,EXTRA,relish breakfast,Female,0.975,31–40,0.427
cluster_084_AccoID_1168602_20251105_091844.png,84,1168602,224540/25,2025-11-05 09:19:00,2025-11-05 09:18:44,-127.0,1.0,0.0,36.0,Beverages Coffee,COFFEE,cappuccino,Female,0.975,31–40,0.427
cluster_084_AccoID_1168602_20251105_091844.png,84,1168602,224540/25,2025-11-05 09:19:00,2025-11-05 09:18:44,-127.0,1.0,0.0,79.0,Breakfast,BREAKFAST,loerie,Female,0.975,31–40,0.427
cluster_085_AccoID_1168869_20251105_103940.png,85,1168869,224582/63,2025-11-05 10:41:00,2025-11-05 10:39:40,-46.4,2.0,0.2000000029802322,29.0,Mineral cooldrinks,COKE,original  ,Female,0.98,41–55,0.51
cluster_086_AccoID_1168864_20251105_103947.png,86,1168864,224581/65,2025-11-05 10:40:00,2025-11-05 10:39:47,-71.0,1.0,0.0,59.0,Cakes,LEMON MERINGUE,none,Female,0.978,01–10,0.621
cluster_086_AccoID_1168864_20251105_103947.png,86,1168864,224581/65,2025-11-05 10:40:00,2025-11-05 10:39:47,-71.0,1.0,0.0,12.0,Deli-biscuits,MERINGUE NEST,none,Female,0.978,01–10,0.621
cluster_087_AccoID_1168864_20251105_104011.png,87,1168864,224581/65,2025-11-05 10:40:00,2025-11-05 10:40:11,-71.0,1.0,0.0,59.0,Cakes,LEMON MERINGUE,none,Female,0.977,41–55,0.391
cluster_087_AccoID_1168864_20251105_104011.png,87,1168864,224581/65,2025-11-05 10:40:00,2025-11-05 10:40:11,-71.0,1.0,0.0,12.0,Deli-biscuits,MERINGUE NEST,none,Female,0.977,41–55,0.391
cluster_088_AccoID_1169403_20251105_130623.png,88,1169403,224668/151,2025-11-05 13:07:00,2025-11-05 13:06:23,-29.01,1.0,0.0,0.01,Specials,SPECIAL,tea ,Female,0.992,41–55,0.454
cluster_088_AccoID_1169403_20251105_130623.png,88,1169403,224668/151,2025-11-05 13:07:00,2025-11-05 13:06:23,-29.01,1.0,0.0,29.0,Beverages Coffee,COFFEE,cappuccino,Female,0.992,41–55,0.454
cluster_089_AccoID_1169403_20251105_130640.png,89,1169403,224668/151,2025-11-05 13:07:00,2025-11-05 13:06:40,-29.01,1.0,0.0,0.01,Specials,SPECIAL,tea ,Female,0.984,31–40,0.406
cluster_089_AccoID_1169403_20251105_130640.png,89,1169403,224668/151,2025-11-05 13:07:00,2025-11-05 13:06:40,-29.01,1.0,0.0,29.0,Beverages Coffee,COFFEE,cappuccino,Female,0.984,31–40,0.406
cluster_090_AccoID_1169403_20251105_130636.png,90,1169403,224668/151,2025-11-05 13:07:00,2025-11-05 13:06:36,-29.01,1.0,0.0,0.01,Specials,SPECIAL,tea ,Female,0.994,31–40,0.405
cluster_090_AccoID_1169403_20251105_130636.png,90,1169403,224668/151,2025-11-05 13:07:00,2025-11-05 13:06:36,-29.01,1.0,0.0,29.0,Beverages Coffee,COFFEE,cappuccino,Female,0.994,31–40,0.405
cluster_091_AccoID_1169291_20251105_123612.png,91,1169291,224650/135,2025-11-05 12:37:00,2025-11-05 12:36:12,-107.0,1.0,0.0,39.0,Beverages Coffee,COFFEE,creamuccino,Female,0.978,11–20,0.542
cluster_091_AccoID_1169291_20251105_123612.png,91,1169291,224650/135,2025-11-05 12:37:00,2025-11-05 12:36:12,-107.0,1.0,0.0,39.0,Beverages Coffee,COFFEE,plaas koffee,Female,0.978,11–20,0.542
cluster_091_AccoID_1169291_20251105_123612.png,91,1169291,224650/135,2025-11-05 12:37:00,2025-11-05 12:36:12,-107.0,1.0,0.0,7.0,Beverages Coffee,DECAF COFFEE,none,Female,0.978,11–20,0.542
cluster_091_AccoID_1169291_20251105_123612.png,91,1169291,224650/135,2025-11-05 12:37:00,2025-11-05 12:36:12,-107.0,1.0,0.0,22.0,Beverages Cold,FRUIT JUICE,apple juice,Female,0.978,11–20,0.542
cluster_092_AccoID_1168525_20251105_084254.png,92,1168525,224527/6,2025-11-05 08:43:00,2025-11-05 08:42:54,-42.4,1.0,0.2000000029802322,24.0,Beverages Tea,TEA,tea five roses,Female,0.949,11–20,0.441
cluster_092_AccoID_1168525_20251105_084254.png,92,1168525,224527/6,2025-11-05 08:43:00,2025-11-05 08:42:54,-42.4,1.0,0.2000000029802322,29.0,Beverages Coffee,COFFEE,cappuccino,Female,0.949,11–20,0.441
