cluster,num_unique_orders,accoids
cluster_056,3,"[1171521, 1171528, 1171535]"
cluster_007,3,"[1171521, 1171528, 1171652]"
cluster_014,3,"[1171412, 1171419, 1171426]"
cluster_026,3,"[1170835, 1170842, 1170847]"
cluster_027,3,"[1171678, 1171683, 1171688]"
cluster_256,3,"[1171067, 1171074, 1171081]"
cluster_028,3,"[1171683, 1171688, 1171695]"
cluster_264,3,"[1171182, 1171187, 1171194]"
cluster_266,3,"[1171277, 1171303, 1171310]"
cluster_248,3,"[1171405, 1171412, 1171419]"
cluster_015,3,"[1171213, 1171218, 1171910]"
cluster_279,3,"[1171008, 1171015, 1171022]"
cluster_055,3,"[1171521, 1171528, 1171535]"
cluster_037,3,"[1171678, 1171683, 1171688]"
cluster_039,3,"[1171678, 1171683, 1171688]"
cluster_166,3,"[1171612, 1171619, 1171624]"
cluster_044,3,"[1171678, 1171683, 1171688]"
cluster_227,3,"[1171194, 1171199, 1171206]"
cluster_280,3,"[1171008, 1171015, 1171022]"
cluster_011,3,"[1171086, 1171093, 1171100]"
cluster_008,3,"[1171151, 1171753, 1171758]"
cluster_167,3,"[1171619, 1171624, 1171631]"
cluster_143,3,"[1171324, 1171329, 1171678]"
cluster_150,3,"[1171753, 1171758, 1171765]"
cluster_106,3,"[1171388, 1171393, 1171400]"
cluster_130,3,"[1171029, 1171036, 1171039]"
cluster_135,3,"[1171029, 1171036, 1171039]"
cluster_091,3,"[1171779, 1171786, 1171793]"
cluster_136,3,"[1171521, 1171528, 1171535]"
cluster_137,3,"[1171726, 1171733, 1171736]"
cluster_138,3,"[1171478, 1171490, 1171645]"
cluster_078,3,"[1171502, 1171509, 1171516]"
cluster_145,3,"[1171726, 1171733, 1171736]"
cluster_112,3,"[1171284, 1171707, 1171712]"
cluster_151,3,"[1171753, 1171758, 1171765]"
cluster_152,3,"[1171848, 1171853, 1171858]"
cluster_109,3,"[1171388, 1171393, 1171400]"
cluster_107,3,"[1171545, 1171607, 1171612]"
cluster_090,3,"[1170854, 1170861, 1170866]"
cluster_128,3,"[1171521, 1171528, 1171535]"
cluster_164,3,"[1171036, 1171039, 1171046]"
cluster_163,3,"[1171036, 1171039, 1171046]"
cluster_097,3,"[1171848, 1171853, 1171858]"
cluster_098,3,"[1171779, 1171786, 1171793]"
cluster_105,3,"[1171388, 1171393, 1171400]"
cluster_025,2,"[1171733, 1171736]"
cluster_096,2,"[1171848, 1171853]"
cluster_041,2,"[1171119, 1171126]"
cluster_080,2,"[1171753, 1171758]"
cluster_234,2,"[1171535, 1171538]"
cluster_120,2,"[1170975, 1171579]"
cluster_273,2,"[1171074, 1171081]"
cluster_093,2,"[1171237, 1171870]"
cluster_009,2,"[1171593, 1171600]"
cluster_271,2,"[1171074, 1171081]"
cluster_116,2,"[1171015, 1171022]"
cluster_115,2,"[1171015, 1171022]"
cluster_243,2,"[1171341, 1171346]"
cluster_244,2,"[1171341, 1171346]"
cluster_081,2,"[1171753, 1171758]"
cluster_095,2,"[1170842, 1170847]"
cluster_100,2,"[1170982, 1170989]"
cluster_031,2,"[1170842, 1170847]"
cluster_111,2,"[1171443, 1171450]"
cluster_073,2,"[1171822, 1171827]"
cluster_085,2,"[1171502, 1171509]"
cluster_101,2,"[1171360, 1171365]"
cluster_084,2,"[1171029, 1171036]"
cluster_082,2,"[1170842, 1170847]"
cluster_104,2,"[1171036, 1171039]"
cluster_229,2,"[1171310, 1171317]"
cluster_132,2,"[1171107, 1171112]"
cluster_156,2,"[1171545, 1171550]"
cluster_076,2,"[1171137, 1171144]"
cluster_089,2,"[1171213, 1171218]"
cluster_070,2,"[1170966, 1170975]"
cluster_177,2,"[1170909, 1170913]"
cluster_162,2,"[1170952, 1170959]"
cluster_179,2,"[1171254, 1171257]"
cluster_074,2,"[1171822, 1171827]"
cluster_075,2,"[1171137, 1171144]"
cluster_068,2,"[1171538, 1171545]"
cluster_183,2,"[1170982, 1170989]"
cluster_184,2,"[1171156, 1171163]"
cluster_088,2,"[1171341, 1171346]"
cluster_172,2,"[1171631, 1171638]"
cluster_153,2,"[1171863, 1171889]"
cluster_194,2,"[1171758, 1171765]"
cluster_174,2,"[1171574, 1171579]"
cluster_146,2,"[1171870, 1171877]"
cluster_144,2,"[1171324, 1171329]"
cluster_061,2,"[1171225, 1171230]"
cluster_001,2,"[1171262, 1171272]"
cluster_203,2,"[1170982, 1170989]"
cluster_059,2,"[1171405, 1171412]"
cluster_058,2,"[1171678, 1171683]"
cluster_216,2,"[1171046, 1171053]"
cluster_012,2,"[1171834, 1171841]"
cluster_048,2,"[1171841, 1171848]"
cluster_224,2,"[1171341, 1171346]"
cluster_129,2,"[1171291, 1171296]"
cluster_171,2,"[1171631, 1171638]"
cluster_173,2,"[1171574, 1171579]"
cluster_285,1,[1170959]
cluster_277,1,[1170828]
cluster_086,1,[1171218]
cluster_284,1,[1170959]
cluster_276,1,[1170828]
cluster_165,1,[1171129]
cluster_013,1,[1171834]
cluster_016,1,[1171939]
cluster_017,1,[1171939]
cluster_019,1,[1171112]
cluster_020,1,[1170794]
cluster_117,1,[1171741]
cluster_118,1,[1171218]
cluster_123,1,[1171574]
cluster_228,1,[1171284]
cluster_127,1,[1170947]
cluster_217,1,[1171107]
cluster_159,1,[1171329]
cluster_175,1,[1170794]
cluster_087,1,[1170816]
