image_name,cluster_id,AccoID,AccoDocNo,AccoDate,timestamp,AccoAmount,Quantity,Discount,UnitPrice,StockCateDesc,StockName,StockDesciption,predicted_gender,gender_confidence,predicted_age,age_confidence,InvNo,survey_gender,survey_age_group,survey_time,survey_completed
cluster_185_AccoID_1169091_20251105_113417.png,185,1169091,224617/98,2025-11-05 11:34:00,2025-11-05 11:34:17,-171.0,1.0,0.0,29.0,Beverages Coffee,COFFEE,cappuccino,Female,0.801,66–80,0.742,98.0,,,,False
cluster_185_AccoID_1169091_20251105_113417.png,185,1169091,224617/98,2025-11-05 11:34:00,2025-11-05 11:34:17,-171.0,2.0,0.0,59.0,Cakes Scones Muffins,MUFFIN SPINACH FETA,meal ,Female,0.801,66–80,0.742,98.0,,,,False
cluster_186_AccoID_1169076_20251105_113226.png,186,1169076,224614/96,2025-11-05 11:33:00,2025-11-05 11:32:26,-29.0,1.0,0.0,29.0,Mineral cooldrinks,COKE,zero,Female,0.832,66–80,0.625,96.0,,,,False
cluster_187_AccoID_1169310_20251105_124253.png,187,1169310,224653/111,2025-11-05 12:43:00,2025-11-05 12:42:53,-120.8,1.0,0.2000000029802322,33.0,Beers,SAVANNA,dry,Female,0.999,31–40,0.332,111.0,,,,False
cluster_187_AccoID_1169310_20251105_124253.png,187,1169310,224653/111,2025-11-05 12:43:00,2025-11-05 12:42:53,-120.8,1.0,0.2000000029802322,39.0,Beverages Cold,ICE COFFEE,condensed milk,Female,0.999,31–40,0.332,111.0,,,,False
cluster_187_AccoID_1169310_20251105_124253.png,187,1169310,224653/111,2025-11-05 12:43:00,2025-11-05 12:42:53,-120.8,1.0,0.2000000029802322,79.0,Cakes,TRY ME LIKE ME,none,Female,0.999,31–40,0.332,111.0,,,,False
cluster_188_AccoID_1169315_20251105_124329.png,188,1169315,224654/137,2025-11-05 12:44:00,2025-11-05 12:43:29,-276.0,1.0,0.0,10.0,Extra,EXTRA,almond milk,Female,0.997,11–20,0.527,137.0,,,,False
cluster_188_AccoID_1169315_20251105_124329.png,188,1169315,224654/137,2025-11-05 12:44:00,2025-11-05 12:43:29,-276.0,1.0,0.0,36.0,Beverages Coffee,COFFEE,latte,Female,0.997,11–20,0.527,137.0,,,,False
cluster_188_AccoID_1169315_20251105_124329.png,188,1169315,224654/137,2025-11-05 12:44:00,2025-11-05 12:43:29,-276.0,1.0,0.0,29.0,Beverages Coffee,COFFEE,cappuccino,Female,0.997,11–20,0.527,137.0,,,,False
cluster_188_AccoID_1169315_20251105_124329.png,188,1169315,224654/137,2025-11-05 12:44:00,2025-11-05 12:43:29,-276.0,1.0,0.0,79.0,Cakes,TRY ME LIKE ME,none,Female,0.997,11–20,0.527,137.0,,,,False
cluster_188_AccoID_1169315_20251105_124329.png,188,1169315,224654/137,2025-11-05 12:44:00,2025-11-05 12:43:29,-276.0,1.0,0.0,33.0,Beverages Cold,STERISTUMPIES,strawberry,Female,0.997,11–20,0.527,137.0,,,,False
cluster_188_AccoID_1169315_20251105_124329.png,188,1169315,224654/137,2025-11-05 12:44:00,2025-11-05 12:43:29,-276.0,1.0,0.0,89.0,Cakes Cheese,CHEESE CAKE,biscoff vanilla,Female,0.997,11–20,0.527,137.0,,,,False
cluster_189_AccoID_1169322_20251105_124640.png,189,1169322,224655/138,2025-11-05 12:46:00,2025-11-05 12:46:40,-484.0,1.0,0.0,39.0,Mineral cooldrinks,APPLETISER,none,Female,0.998,56–65,0.486,138.0,,,,False
cluster_189_AccoID_1169322_20251105_124640.png,189,1169322,224655/138,2025-11-05 12:46:00,2025-11-05 12:46:40,-484.0,2.0,0.0,29.0,Mineral cooldrinks,COKE,lite,Female,0.998,56–65,0.486,138.0,,,,False
cluster_189_AccoID_1169322_20251105_124640.png,189,1169322,224655/138,2025-11-05 12:46:00,2025-11-05 12:46:40,-484.0,3.0,0.0,129.0,Light lunches,CRUMBED CHICKEN FILLET,none,Female,0.998,56–65,0.486,138.0,,,,False
cluster_190_AccoID_1169521_20251105_135341.png,190,1169521,224686/169,2025-11-05 13:55:00,2025-11-05 13:53:41,-249.0,1.0,0.0,49.0,Cakes,MILK TART,none,Female,0.995,31–40,0.418,169.0,,,,False
